image_id;error;false_pos;false_neg;species;n_false positives;n_false negatives;Sum_n_errors;log(sum_error);n_false positives_cor;n_false negatives_cor;Sum_n_errors_cor;log(sum_error);time;vegetation;greg
709624_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
709623_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
709622_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
709619_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
707689_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729551_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729409_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729408_0;0;0;0;Reedbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729842_0;0;0;0;Civet;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729818_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729817_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729708_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
729702_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
723463_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
727749_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
723495_0;0;0;0;Warthog;0;0;0;0;0;0;0;0;day;Mixed Savanna and Woodland;1
728242_0;0;0;0;Warthog;0;0;0;0;0;0;0;0;day;Mixed Savanna and Woodland;1
728215_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
728398_0;0;0;0;Civet;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
728378_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
718330_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
718328_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
727474_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
718327_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
718325_0;0;0;0;Bushbuck;0;0;0;0;0;0;0;0;night;Mixed Savanna and Woodland;0
