image_id;species_conf;species_count_conf;n_conf_eq;species_CS;species_count_SC;False positives;False Negatives;Sum_errors;n_false_positives;n_false_negatives
715537_0;Human;2;2;Human;2;0;0;0;0;0
707480_0;Human;2;2;Human;1;0;0;0;0;1
715535_0;Human;2;2;Human;1;0;0;0;0;1
715525_0;Human;1;1;Human;1;0;0;0;0;0
709624_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
709623_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
709622_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
709619_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
707689_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729551_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729409_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729408_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
729842_0;Civet;1;1;Civet;1;0;0;0;0;0
729818_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729817_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729708_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
729702_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
723463_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
727749_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
723495_0;Warthog;1;1;Warthog;1;0;0;0;0;0
728242_0;Warthog;1;1;Warthog;1;0;0;0;0;0
728215_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
728398_0;Civet;1;1;Civet;1;0;0;0;0;0
728378_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718330_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718328_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
727474_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718327_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718325_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718324_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718316_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718315_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718312_0;Bushbuck;1;1;Reedbuck;1;1;0;1;0;0
718311_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718308_0;Bushbuck;1;1;Reedbuck;1;1;0;1;0;0
718307_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718303_0;Bushbuck;1;1;Reedbuck;1;1;0;1;0;0
718302_0;Civet;1;1;Civet;1;0;0;0;0;0
718297_0;Civet;1;1;Civet;1;0;0;0;0;0
718282_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718471_0;Reedbuck;2;2;Bushbuck;2;1;0;1;0;0
718440_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718438_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718436_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718434_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718427_0;Bushbuck;1;1;Reedbuck;1;1;0;1;0;0
718426_0;Bushbuck;1;1;Duiker;1;1;0;1;0;0
718423_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
720884_0;Bushbuck;2;2;Reedbuck;2;1;0;1;0;0
720882_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
718455_0;Warthog;1;1;Warthog;1;0;0;0;0;0
744197_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
744195_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
743982_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
743129_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
743974_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
743972_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
743968_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
743957_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
744234_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
750248_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
750226_0;Bushbuck;2;2;Bushbuck;2;0;0;0;0;0
750224_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
736315_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
750223_0;Bushbuck;2;2;Bushbuck;2;0;0;0;0;0
743694_0;Bushbuck;2;2;Bushbuck;2;0;0;0;0;0
750222_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
749756_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
749757_0;Reedbuck;1;1;Bushbuck;1;1;0;1;0;0
749755_0;Reedbuck;1;1;Duiker;1;1;0;1;0;0
749739_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
743688_0;Reedbuck;1;1;Bushbuck;1;1;0;1;0;0
743689_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
749740_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
749754_0;Bushbuck;2;2;Bushbuck;1;0;0;0;0;1
749737_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
749738_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
749734_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
733379_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
733378_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
733388_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
695621_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
695620_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
695615_0;Honey Badger;1;1;Honey Badger;1;0;0;0;0;0
695473_0;Warthog;1;1;Warthog;1;0;0;0;0;0
691008_0;Oribi;1;1;Bushbuck;1;1;0;1;0;0
695441_0;Civet;1;1;Civet;1;0;0;0;0;0
695439_0;Oribi;1;1;Bushbuck;1;1;0;1;0;0
692547_0;Waterbuck;1;1;Waterbuck;1;0;0;0;0;0
692545_0;Civet;1;1;Civet;1;0;0;0;0;0
692528_0;Reedbuck;1;1;Bushbuck;1;1;0;1;0;0
695595_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
695596_0;Reedbuck;1;1;Bushbuck;1;1;0;1;0;0
695573_0;Impala;1;1;Impala;1;0;0;0;0;0
693827_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
693822_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
693821_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
690945_0;Civet;1;1;Civet;1;0;0;0;0;0
694012_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
693869_0;Human;1;1;Human;1;0;0;0;0;0
693987_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
693986_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
693984_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
693985_0;Bushbuck;1;1;Waterbuck;1;1;0;1;0;0
706112_0;Reedbuck;1;1;Duiker;1;1;0;1;0;0
693717_0;Nyala;1;1;Nyala;1;0;0;0;0;0
693710_0;Nyala;1;1;Nyala;1;0;0;0;0;0
705959_0;Warthog;1;1;Warthog;1;0;0;0;0;0
706032_0;Human;1;1;Human;1;0;0;0;0;0
706031_0;Human;1;1;Human;1;0;0;0;0;0
706030_0;Human;1;1;Human;1;0;0;0;0;0
688729_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
688728_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
688550_0;Human;1;1;Human;1;0;0;0;0;0
688547_0;Human;1;1;Human;1;0;0;0;0;0
688546_0;Human;2;2;Human;2;0;0;0;0;0
705717_0;Reedbuck;1;1;Reedbuck;1;0;0;0;0;0
705800_0;Bushbuck;1;1;Bushbuck;1;0;0;0;0;0
