-	-	-	2	3	5	1	6	7	8	4	9	10
-	-	-	Kudu	Nyala	Waterbuck	Bushbuck	Reedbuck	Impala	Oribi	Duiker	Warthog	Bushpig
2	104,104,104	Kudu	0	4	0	3	1	0	1	0	0	0
3	88,88,88	Nyala	3	0	0	12	0	5	3	1	0	0
5	96,96,96	Waterbuck	9	10	0	22	1	23	5	1	47	0
1	160,160,160	Bushbuck	7	49	6	0	34	9	29	27	0	2
6	105,105,105	Reedbuck	4	10	0	590	0	4	67	19	0	0
7	80,80,80	Impala	3	1	4	49	12	0	37	2	0	0
8	48,48,48	Oribi	0	0	1	40	2	1	0	10	0	0
4	32,32,32	Duiker	0	5	2	520	15	6	28	0	0	0
9	16,16,16	Warthog	6	2	1	13	0	5	0	0	0	79
10	0,0,0	Bushpig	0	0	0	4	0	2	0	0	16	0
