Ref;Species;F+ C+;F+ C-;F- C+;F- C-;n_Filipe;n_CS;perc.fn;perc.fp
43;Reptile;4;0;1;39386;4;5;0;0.2
42;Vulture;3;4;0;39384;7;3;0.571428571;0
41;Raptor (other);29;10;2;39350;39;31;0.256410256;0.064516129
40;Bird (other);488;66;13;38824;554;501;0.119133574;0.025948104
39;Ground Hornbill;35;7;0;39349;42;35;0.166666667;0
38;Aardvark;14;0;3;39374;14;17;0;0.176470588
37;Rodent;20;1;1;39369;21;21;0.047619048;0.047619048
36;Porcupine;495;1;1;38894;496;496;0.002016129;0.002016129
34;Baboon;12904;157;25;26305;13061;12929;0.012020519;0.001933638
33;Vervet Monkey;90;20;6;39275;110;96;0.181818182;0.0625
32;Samango Monkey;168;18;7;39198;186;175;0.096774194;0.04
31;Pangolin;1;1;0;39389;2;1;0.5;0
30;Hare;15;2;0;39374;17;15;0.117647059;0
29;Genet;98;17;1;39275;115;99;0.147826087;0.01010101
28;Civet;587;2;36;38766;589;623;0.003395586;0.057784912
27;Honey Badger;115;0;1;39275;115;116;0;0.00862069
26;Mongoose;299;18;2;39072;317;301;0.056782334;0.006644518
25;Wildcat;0;0;1;39390;0;1;0;1
24;Serval;95;1;0;39295;96;95;0.010416667;0
23;Caracal;0;0;2;39389;0;2;0;1
22;Lion;61;3;1;39326;64;62;0.046875;0.016129032
19;Jackal;1;2;2;39386;3;3;0.666666667;0.666666667
18;Bushpig;524;89;24;38754;613;548;0.145187602;0.04379562
17;Warthog;5743;307;196;33145;6050;5939;0.050743802;0.033002189
16;Hippopotamus;89;1;3;39298;90;92;0.011111111;0.032608696
15;Oribi;474;175;54;38688;649;528;0.269645609;0.102272727
14;Impala;1529;101;137;37624;1630;1666;0.06196319;0.082232893
13;Reedbuck;211;67;698;38415;278;909;0.241007194;0.767876788
12;Waterbuck;3630;279;151;35331;3909;3781;0.071373753;0.039936525
11;Sable Antelope;166;6;1;39218;172;167;0.034883721;0.005988024
10;Duiker;675;61;577;38078;736;1252;0.082880435;0.46086262
9;Nyala;686;108;43;38554;794;729;0.136020151;0.058984911
8;Kudu;120;45;14;39212;165;134;0.272727273;0.104477612
7;Bushbuck;5117;1334;199;32741;6451;5316;0.206789645;0.037434161
6;Eland;11;20;3;39357;31;14;0.64516129;0.214285714
5;Buffalo;252;5;3;39131;257;255;0.019455253;0.011764706
4;Wildebeest;41;2;2;39346;43;43;0.046511628;0.046511628
3;Hartebeest;55;14;8;39314;69;63;0.202898551;0.126984127
2;Zebra;25;1;1;39364;26;26;0.038461538;0.038461538
1;Elephant;1556;14;3;37818;1570;1559;0.008917197;0.00192431
